"Version 2.0:  Dieter, C.A., Linsey, K.S., Caldwell, R.R., Harris, M.A., Ivahnenko, T.I., Lovelace, J.K., Maupin, M.A., and Barber, N.L., 2018, Estimated use of water in the United States county-level data for 2015 (ver. 2.0, June 2018): U.S. Geological Survey data release, https://doi.org/10.5066/F7TB15V5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial,thermo_ground,thermo_surface
CT,9,Fairfield County,1,09001,2015,948.053,26.789,741.817,768.606,4.49,0,4.49,83.49,0,83.49,87.98,0,87.98,179.447,7,0,7,39,29.98,39,36.98,0.23,0,0.23,3.64,0,3.64,3.87,0,3.87,0.59,1.42,2.01,--,1.91,2.63,0.02,0,2.65,0,0.18,0.18,--,0.16,0.3,0.02,0,0.32,0.59,1.24,1.83,--,1.75,2.33,0,0,2.33,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0.24,0,0.24,0.32,0,0.32,0,0,0,0,356.56,356.56,0,356.56,356.56,--,1.21,0.86,3.35,4.21,4114.46,0,0,0,0,356.56,356.56,0,356.56,356.56,--,--,0,3.35,3.35,3637.34,0,0,0,0,0,0,0,0,0,--,1.21,0.86,0,0.86,477.12,12.42,0,12.42,88.79,356.56,445.35,101.21,356.56,457.77,2.77,3.35,6.12,0,0
CT,9,Hartford County,3,09003,2015,895.841,78.563,671.826,750.389,12.78,0,12.78,46.44,0,46.44,59.22,0,59.22,145.452,4.9,0,4.9,34,25.29,34,30.19,9.02,0,9.02,97.25,0,97.25,106.27,0,106.27,0.57,3.52,4.09,--,3.9,6.7,0.39,0,7.09,0.13,2.28,2.41,--,2.3,4.56,0.39,0,4.95,0.44,1.24,1.68,--,1.6,2.14,0,0,2.14,0.07,0,0.07,0.79,0,0.79,12.96,0,12.96,13.75,0,13.75,0.11,0,0.11,0.48,0,0.48,0.59,0,0.59,0,0,0,71.56,0,71.56,71.56,0,71.56,--,0.43,0.98,0,0.98,614.78,0,0,0,71.56,0,71.56,71.56,0,71.56,--,--,0.67,0,0.67,421.59,0,0,0,0,0,0,0,0,0,--,0.43,0.31,0,0.31,193.19,28.24,0,28.24,232.21,0,232.21,260.45,0,260.45,4.88,0,4.88,0,71.56
CT,9,Litchfield County,5,09005,2015,183.603,46.045,59.568,105.613,5.04,0,5.04,5.14,0,5.14,10.18,0,10.18,77.99,2.69,0,2.69,34,3.64,34,6.33,1.33,0,1.33,7.62,0,7.62,8.95,0,8.95,0.62,0.1,0.72,--,0.69,1.3,0.02,0,1.32,0,0.1,0.1,--,0.1,0.34,0.02,0,0.36,0.62,0,0.62,--,0.59,0.96,0,0,0.96,0.21,0,0.21,1.16,0,1.16,0,0,0,1.16,0,1.16,0.09,0,0.09,0.39,0,0.39,0.48,0,0.48,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,11.14,0,11.14,13.25,0,13.25,24.39,0,24.39,0.69,0,0.69,0,0
CT,9,Middlesex County,7,09007,2015,164.063,20.663,90.067,110.73,4.63,0,4.63,2.68,0,2.68,7.31,0,7.31,53.333,1.52,0,1.52,29,3.16,29,4.68,4.06,0,4.06,0.05,0,0.05,4.11,0,4.11,0.21,0.58,0.79,--,0.74,1.15,0.05,0,1.2,0.02,0.34,0.36,--,0.32,0.58,0.05,0,0.63,0.19,0.24,0.43,--,0.42,0.57,0,0,0.57,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0.36,0,0.36,0.43,0,0.43,0,0,0,54.37,0,54.37,54.37,0,54.37,--,--,2.76,0,2.76,4793.06,0,0,0,51.84,0,51.84,51.84,0,51.84,--,--,0.49,0,0.49,337.05,0,0,0,2.53,0,2.53,2.53,0,2.53,--,--,2.27,0,2.27,4456.01,10.53,0,10.53,58.04,0,58.04,68.57,0,68.57,3.5,0,3.5,0,56.9
CT,9,New Haven County,9,09009,2015,859.47,14.072,641.486,655.558,4.77,0,4.77,49.72,0,49.72,54.49,0,54.49,203.912,6.53,0,6.53,32,20.98,32,27.51,22.9,0,22.9,18.5,0,18.5,41.4,0,41.4,0.01,1.46,1.47,--,1.4,2.65,0.09,0,2.74,0.01,0.33,0.34,--,0.32,1.2,0.09,0,1.29,0,1.13,1.13,--,1.08,1.45,0,0,1.45,0.06,0,0.06,0,0,0,0,3.02,3.02,0,3.02,3.02,0.09,0,0.09,0.37,0,0.37,0.46,0,0.46,0,0,0,0,61.36,61.36,0,61.36,61.36,--,2.26,1.61,0.58,2.19,3606.48,0,0,0,0,61.36,61.36,0,61.36,61.36,--,--,0,0.58,0.58,118.03,0,0,0,0,0,0,0,0,0,--,2.26,1.61,0,1.61,3488.45,34.36,0,34.36,70.05,64.38,134.43,104.41,64.38,168.79,3.01,0.58,3.59,0,0
CT,9,New London County,11,09011,2015,271.863,31.94,162.581,194.521,2.25,0,2.25,5.86,0,5.86,8.11,0,8.11,77.342,2.63,0,2.63,34,6.61,34,9.24,0.08,0,0.08,7.97,41.63,49.6,8.05,41.63,49.68,0.49,0.68,1.17,--,1.11,1.58,0.05,0,1.63,0.01,0.49,0.5,--,0.47,0.7,0.05,0,0.75,0.48,0.19,0.67,--,0.64,0.88,0,0,0.88,0.35,0,0.35,0,0,0,0.04,0,0.04,0.04,0,0.04,0.04,0,0.04,0.17,0,0.17,0.21,0,0.21,0,0,0,0,2048.85,2048.85,0,2048.85,2048.85,--,0.75,0.53,19.26,19.79,17660.16,0,0,0,0,2048.85,2048.85,0,2048.85,2048.85,--,--,0,19.26,19.26,17424.16,0,0,0,0,0,0,0,0,0,--,0.75,0.53,0,0.53,236,5.84,0,5.84,14.72,2090.48,2105.2,20.56,2090.48,2111.04,1.64,19.26,20.9,0,0
CT,9,Tolland County,13,09013,2015,151.42,45.125,46.224,91.349,3.29,0,3.29,1.64,0,1.64,4.93,0,4.93,60.071,2.52,0,2.52,42,3.83,42,6.35,0.47,0,0.47,0.53,0,0.53,1,0,1,0.28,0.22,0.5,--,0.47,0.76,0.04,0,0.8,0.01,0.22,0.23,--,0.21,0.41,0.04,0,0.45,0.27,0,0.27,--,0.26,0.35,0,0,0.35,0.18,0,0.18,0,0,0,0,0,0,0,0,0,0.09,0,0.09,0.45,0,0.45,0.54,0,0.54,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,6.83,0,6.83,2.84,0,2.84,9.67,0,9.67,0.47,0,0.47,0,0
CT,9,Windham County,15,09015,2015,116.573,25.175,27.473,52.648,5.76,0,5.76,1.95,0,1.95,7.71,0,7.71,63.925,3.04,0,3.04,48,2.5,47,5.54,1.99,0,1.99,5.06,0,5.06,7.05,0,7.05,0.25,0.31,0.56,--,0.52,0.77,0.05,0,0.82,0.01,0.31,0.32,--,0.29,0.47,0.05,0,0.52,0.24,0,0.24,--,0.23,0.3,0,0,0.3,0.21,0,0.21,7.2,0,7.2,0,0,0,7.2,0,7.2,0.25,0,0.25,0.97,0,0.97,1.22,0,1.22,0,0,0,0.43,0,0.43,0.43,0,0.43,--,--,0.31,0,0.31,190.77,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0.43,0,0.43,0.43,0,0.43,--,--,0.31,0,0.31,190.77,18.7,0,18.7,8.72,0,8.72,27.42,0,27.42,0.83,0,0.83,0,0.86
ME,23,Androscoggin County,1,23001,2015,107.233,10.962,41.696,52.658,0.8,0,0.8,7.12,0,7.12,7.92,0,7.92,54.575,3.46,0,3.46,63,3.45,66,6.91,0.76,0,0.76,1.26,0,1.26,2.02,0,2.02,0.06,0.51,0.57,--,0.54,1.16,0,0.11,1.27,0.04,0.34,0.38,--,0.36,0.74,0,0.11,0.85,0.02,0.17,0.19,--,0.18,0.42,0,0,0.42,0.21,0.07,0.28,0,0,0,0,0,0,0,0,0,0.33,0,0.33,0.58,0,0.58,0.91,0,0.91,0,0,0,0.62,0,0.62,0.62,0,0.62,--,0,0.44,0,0.44,285.48,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0.62,0,0.62,0.62,0,0.62,--,0,0.44,0,0.44,285.48,5.62,0,5.62,10.16,0,10.16,15.78,0,15.78,0.98,0,0.98,0,1.24
ME,23,Aroostook County,3,23003,2015,68.628,27.55,4.15,31.7,3.37,0,3.37,0.74,0,0.74,4.11,0,4.11,36.928,1.31,0,1.31,35,1.16,37,2.47,0.38,0,0.38,13.63,0,13.63,14.01,0,14.01,0.44,3.59,4.03,--,3.84,11.71,0,0,11.71,0.39,3.51,3.9,--,3.71,11.4,0,0,11.4,0.05,0.08,0.13,--,0.13,0.31,0,0,0.31,0.09,0.03,0.12,0.2,0,0.2,0,0,0,0.2,0,0.2,0.03,0,0.03,0.24,0,0.24,0.27,0,0.27,0,0,0,0.59,0,0.59,0.59,0,0.59,--,0.58,0.69,0,0.69,503.39,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0.59,0,0.59,0.59,0,0.59,--,0.58,0.69,0,0.69,503.39,5.82,0,5.82,18.82,0,18.82,24.64,0,24.64,4.53,0,4.53,0,1.18
